# lambda: Angstroms, f_lambda: erg/s/cm^2/Angstrom,                          Teff=8878.4K,rad=2.271Rsol.
lambda	 f_lambda
3.255830855311403411e+03	2.864424455800611326e-11
3.259057183310315395e+03	1.419878623722613150e-11
3.262286708401711167e+03	2.797188862780354318e-11
3.265519433753709563e+03	2.608857623718901214e-11
3.268755362537578549e+03	2.703063350046465246e-11
3.271994497927714747e+03	2.682252861614882093e-11
3.275236843101675277e+03	2.584821413480575657e-11
3.278482401240150466e+03	2.824426091563575726e-11
3.281731175526998413e+03	2.841587460150716871e-11
3.284983169149216337e+03	2.453186139722047285e-11
3.288238385296975139e+03	2.820467429323851629e-11
3.291496827163591661e+03	2.806591355785401968e-11
3.294758497945562340e+03	2.774323753279103306e-11
3.298023400842540013e+03	2.787666116498428142e-11
3.301291539057347563e+03	2.826098545882727055e-11
3.304562915795993831e+03	2.831619167085418217e-11
3.307837534267649062e+03	1.257895277545673357e-11
3.311115397684677646e+03	2.827983398548256278e-11
3.314396509262614927e+03	2.653725967638073425e-11
3.317680872220194487e+03	2.813115713356266575e-11
3.320968489779327228e+03	2.731508769174124496e-11
3.324259365165129111e+03	1.237224397801060348e-11
3.327553501605899783e+03	2.730595748521331278e-11
3.330850902333150316e+03	2.778202371601968553e-11
3.334151570581580927e+03	2.807997153846526649e-11
3.337455509589110989e+03	2.805657141182803599e-11
3.340762722596854474e+03	2.707203850139165764e-11
3.344073212849151332e+03	2.809589443435474335e-11
3.347386983593545210e+03	2.699812333562825505e-11
3.350704038080798910e+03	7.951396610257300394e-12
3.354024379564906212e+03	2.792641443501857376e-11
3.357348011303071871e+03	2.793730352928997447e-11
3.360674936555742079e+03	2.713383068217874480e-11
3.364005158586579910e+03	2.706833069311752372e-11
3.367338680662497154e+03	2.788468760802105391e-11
3.370675506053627487e+03	1.913807226990585743e-11
3.374015638033360574e+03	2.773416138405150768e-11
3.377359079878315242e+03	2.775187789822025900e-11
3.380705834868370857e+03	2.538124702033931770e-11
3.384055906286643221e+03	2.777426408297306303e-11
3.387409297419516406e+03	2.774691586132164316e-11
3.390766011556619105e+03	2.143625108381503829e-11
3.394126051990840551e+03	1.363971164588175126e-11
3.397489422018343703e+03	2.765538273523085497e-11
3.400856124938543417e+03	2.768312423901559775e-11
3.404226164054138735e+03	2.769883249012951553e-11
3.407599542671086056e+03	2.757586203806216572e-11
3.410976264098632782e+03	2.759433741797842957e-11
3.414356331649292315e+03	2.757621302286524133e-11
3.417739748638873152e+03	2.723681191654500087e-11
3.421126518386456155e+03	2.739038977505919334e-11
3.424516644214425469e+03	2.719756906427537745e-11
3.427910129448442603e+03	2.639366166302934288e-11
3.431306977417480084e+03	2.751965966412098249e-11
3.434707191453796895e+03	2.608856277000611561e-11
3.438110774892955760e+03	2.491144778217170515e-11
3.441517731073834057e+03	1.210289223813321647e-11
3.444928063338604716e+03	2.671698613043903910e-11
3.448341775032765327e+03	2.712176585351266032e-11
3.451758869505116309e+03	2.733780412184760909e-11
3.455179350107789560e+03	2.464615101166174871e-11
3.458603220196223901e+03	2.728630860682629052e-11
3.462030483129199183e+03	2.619528171698924046e-11
3.465461142268808089e+03	2.618510030891578011e-11
3.468895200980489335e+03	2.675645411969837722e-11
3.472332662633002656e+03	2.726326796906121322e-11
3.475773530598460184e+03	2.720896413674606928e-11
3.479217808252301438e+03	2.530441626652203526e-11
3.482665498973324247e+03	1.645449400225166477e-11
3.486116606143664740e+03	2.708201134487986955e-11
3.489571133148810986e+03	2.713679756473685334e-11
3.493029083377615734e+03	2.131579061361447234e-11
3.496490460222275033e+03	1.699260527534827851e-11
3.499955267078362340e+03	2.703357186737167633e-11
3.503423507344800328e+03	2.704428625231923544e-11
3.506895184423894534e+03	2.681069745845853830e-11
3.510370301721307897e+03	2.684976606799820809e-11
